Handle,Title,Body,Vendor,Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Image Src
black-pointing-grim-reaper-t-shirt,Black Pointing Grim Reaper T-Shirt,"I'm guessing no-one's going to volunteer to be the one to tell the Grim Reaper that it's rude to point! Gothic and grand. Available in plus sizes. High quality, heavyweight 100% cotton, with greyscale print on back. Doc Black original.",Docblack,T-shirts,"T-Street, black, grim reaper, plus-size, skeleton",Title,Small,,,,,DB75-BLK-S,0,shopify,99,deny,manual,11.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/pointing_reaper_front_full.jpg?1257429506
black-pointing-grim-reaper-t-shirt,,,,,,Title,Medium,,,,,DB75-BLK-M,0,shopify,100,deny,manual,11.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/pointing_reaper_back_full.jpg?1257429506
black-pointing-grim-reaper-t-shirt,,,,,,Title,Large,,,,,DB75-BLK-L,0,shopify,100,deny,manual,11.99,,
black-pointing-grim-reaper-t-shirt,,,,,,Title,X Large,,,,,DB75-BLK-XL,0,shopify,100,deny,manual,11.99,,
black-pointing-grim-reaper-t-shirt,,,,,,Title,XX Large,,,,,DB75-BLK-XXL,0,shopify,100,deny,manual,12.99,,
black-ribcage-made-of-skulls-t-shirt,Black Ribcage made of Skulls T-Shirt,"Wouldn't it be weird if this was what our ribcages looked underneath it all? I suppose there are worse things to look like than a very wicked t-shirt (I think you'll all agree that that was quite the segue) High quality, heavyweight 100% cotton. Doc Black original. Available in plus sizes.",Docblack,T-shirts,"black, plus-size, ribcage, skulls, t-shirt",Title,Small,,,,,DB76-BLK-S,0,shopify,99,deny,manual,11.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/ribcage_front_full_1.jpg?1257429506
black-ribcage-made-of-skulls-t-shirt,,,,,,Title,Medium,,,,,DB76-BLK-M,0,shopify,100,deny,manual,11.99,,
black-ribcage-made-of-skulls-t-shirt,,,,,,Title,Large,,,,,DB76-BLK-L,0,shopify,100,deny,manual,11.99,,
black-ribcage-made-of-skulls-t-shirt,,,,,,Title,X Large,,,,,DB76-BLK-XL,0,shopify,100,deny,manual,11.99,,
black-ribcage-made-of-skulls-t-shirt,,,,,,Title,XX Large,,,,,DB76-BLK-XXL,0,shopify,100,deny,manual,12.99,,
black-skirt-with-skull-and-crossbones-and-mesh-overlay,Black Skirt with Skull and Crossbones and Mesh Overlay,"Very funky skirt, with a hint of Victoriana about it (I think it's the mesh). Skull and Crossbones have been cool forever and a day, and this skirt continues the trend nicely!

High quality Doc Blacks original. Size Free. Bikini top not included (although it is available elsewhere on the website, so check it out!)

PS: Please ignore my total fail in Photoshop skills. There is no blue on the bottom of the skirt, just black mesh. But it's that cavalier, DIY punk attitude that is so loved in the alternative community, right?...Right?",Docblack,Skirts,"crossbones, mesh, pirate, skirt, skull, skulls",Title,One Size,,,,,DB398-BLK-0,0,shopify,100,deny,manual,15.75,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB398_BlackWhite_SkullxBones_Mesh_Skirt2PS.jpg?1257429506
black-skirt-with-skull-and-crossbones-and-mesh-overlay,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB398_BlackWhite_SkullxBones_Mesh_SkirtPS.jpg?1257429506
black-skull-and-crossbones-elastic-bandana,Black Skull and Crossbones Elastic Bandana,"Elasticated for your convenience, these spiffy bandanas are great for people who are on the go (or, for those like me, people who are always late).",Docblack,Accessories,"bandana, black, crossbones, elastic, pirate, skull",Size Free,Size Free,,,,,DB322-BLK-0,0,shopify,99,deny,manual,3.00,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB322_Black_SkullxBones_Elastic2.jpg?1257429506
black-skull-and-crossbones-zandana-1,Black Skull and Crossbones Zandana,"As to why these fine products are called zandanas, I must admit that I don't know. Then again, since what I don't know could just about fill the Grand Canyon that is neither here nor there - But any excuse for a quick Kevin Smith reference.

Tying a bandana properly can be a nightmare (Ok, that might be a little extreme, it's more of a mild annoyance), but these handy zandana's are already made up for your wearing pleasure, shaving valuable seconds off one's getting ready time (A priceless commodity for the unorganised among us). Available in various patterns and colours, so go nuts!",Docblack,Accessories,"black, crossbones, pirate, skull, zandana",Size Free,Size Free,,,,,DB335-BLK-0,0,shopify,100,deny,manual,4.00,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB335_Black_Skull_Cross_Zandana4.jpg?1257429506
black-skull-and-crossbones-zandana-1,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB335_Black_Skull_Cross_Zandana3.jpg?1257429506
black-skull-and-crossbones-zandana,Black Skull and Crossbones Zandana,"As to why these fine products are called zandanas, I must admit that I don't know. Then again, since what I don't know could just about fill the Grand Canyon that is neither here nor there - But any excuse for a quick Kevin Smith reference.

Tying a bandana properly can be a nightmare (Ok, that might be a little extreme, it's more of a mild annoyance), but these handy zandana's are already made up for your wearing pleasure, shaving valuable seconds off one's getting ready time (A priceless commodity for the unorganised among us). Avaiable in various patterns and colours, so go nuts!",Docblack,Accessories,"black, crossbones, skull, zandana",Size Free,Size Free,,,,,DB326-BLK-0,0,shopify,100,deny,manual,4.00,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB326_Black_SkullxBones_Zandana4.jpg?1257429506
black-skull-and-crossbones-zandana,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB326_Black_SkullxBones_Zandana3.jpg?1257429506
black-tribal-skulls-t-shirt,Black Two Tribal Skulls T-Shirt,"These guys obviously take staring contests very seriously. Maybe the winner gets more nifty red tribal artwork tattooed onto his skull? Available in plus sizes. High quality, heavyweight 100% cotton, with greyscale print on back. Doc Black original. Children's version also available.",Docblack,T-shirts,"black, plus size, red, skulls, t-shirt, tribal",Title,Small,,,,,DB77-BLK-S,0,shopify,99,deny,manual,11.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/twoskulls_front_full.jpg?1257429506
black-tribal-skulls-t-shirt,,,,,,Title,Medium,,,,,DB77-BLK-M,0,shopify,99,deny,manual,11.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/twoskulls_back_full.jpg?1257429506
black-tribal-skulls-t-shirt,,,,,,Title,Large,,,,,DB77-BLK-L,0,shopify,100,deny,manual,11.99,,
black-tribal-skulls-t-shirt,,,,,,Title,X Large,,,,,DB77-BLK-XL,0,shopify,100,deny,manual,11.99,,
black-tribal-skulls-t-shirt,,,,,,Title,XX Large,,,,,DB77-BLK-XXL,0,shopify,100,deny,manual,12.99,,
black-velvet-hair-bands-various-styles,Black Velvet Hair Bands (Various Styles),"I've been reliably informed that due to the popularity of teenage TV programmes such as Gossip Girl (which I've never seen - Bring back Heartbreak High!) alice bands and headbands have become pretty popular in a fashion sense, so here's the gothic take on it all - enjoy!

PS: It seems the two head bands named as 'plaited' and 'twisted' look a bit similar, the difference is the 'twisted' design is the one with the raised bits, for lack of a more technical word!",Docblack,Accessories,"black, bow, goth, hair band, head band, velvet",Title,Black w/ Bow,,,,,DB192-BLK-0,0,shopify,100,deny,manual,4.95,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB192_Hair_Band_Black_Velvet_RibbonPS.jpg?1257429506
black-velvet-hair-bands-various-styles,,,,,,Title,Black Twisted,,,,,DB205-BLK-0,0,shopify,100,deny,manual,4.95,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB205_Hair_Band_Velvet_RibbedPS.jpg?1257429506
black-velvet-hair-bands-various-styles,,,,,,Title,Black Plain,,,,,DB191-BLK-0,0,shopify,100,deny,manual,4.95,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB191_Hair_Band_Black_VelvetPS.jpg?1257429506
black-velvet-hair-bands-various-styles,,,,,,Title,Black Plaited,,,,,DB184-BLK-0,0,shopify,100,deny,manual,4.95,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB184_Hair_Band_Black_Velvet_PlaitPS.jpg?1257429506
black-woolen-skull-scarf,Black Woollen Skull Scarf,"Super snug woollen scarf with skull and crossbone motif. Reversable, so whether one is in a 'black scarf with beige skulls' mood, or a 'beige scarf with black skulls' mood all bases will always be covered! ",Docblack,Accessories,"black, crossbones, emo, goth, pirate, scarf, skull, wool",Title,Size Free,,,,,DB278-BLK-0,0,shopify,100,deny,manual,9.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB278_Wool_Skull_ScarfPS.jpg?1257429506
black-ying-and-yang-elastic-bandana,Black Ying and Yang Elastic Bandana,"Elasticated for your convenience, these spiffy bandanas are great for people who are on the go (or, for those like me, people who are always late).",Docblack,Accessories,"bandana, black, elastic, yang, ying",Size Free,Size Free,,,,,DB324-BLK-0,0,shopify,100,deny,manual,3.00,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB324_Black_YingYang_Elastic_Bandana2.jpg?1257429506
blue-dragon-black-tshirt,Blue Dragon Black T-shirt,"Dragons, dragons everywhere and not a drop to drink (not all of these have to make sense, and they can't all be winners) Very cool and blue dragons in flight fantasy T-shirt. Available in plus sizes. High quality, heavyweight 100% cotton, with greyscale print on back. Doc Black original.",Docblack,T-shirts,"black, blue, docblack, dragon, plus-size, shopify, t-shirt, tee",Title,Small,,,,,DB20-BLK-S,0,shopify,99,deny,manual,11.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB20_BlueDragon_frontfull.jpg?1257429506
blue-dragon-black-tshirt,,,,,,Title,Medium,,,,,DB20-BLK-M,0,shopify,100,deny,manual,11.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB20_BlueDragon_Back.jpg?1257429506
blue-dragon-black-tshirt,,,,,,Title,Large,,,,,DB20-BLK-L,0,shopify,100,deny,manual,11.99,,
blue-dragon-black-tshirt,,,,,,Title,X Large,,,,,DB20-BLK-XL,0,shopify,100,deny,manual,11.99,,
blue-dragon-black-tshirt,,,,,,Title,XX Large,,,,,DB20-BLK-XXL,0,shopify,100,deny,manual,12.99,,
blue-patterned-elastic-bandana,Blue Patterned Elastic Bandana,"Elasticated for your convenience, these spiffy bandanas are great for people who are on the go (or, for those like me, people who are always late).",Docblack,Accessories,"bandana, blue, elastic, patterned",Size Free,Size Free,,,,,DB317-BLU-0,0,shopify,100,deny,manual,3.00,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB317_Blue_Pattern_Elastic_Bandana2.jpg?1257429506
camo-elastic-bandana,Camo Elastic Bandana,"Elasticated for your convenience, these spiffy bandanas are great for people who are on the go (or, for those like me, people who are always late).",Docblack,Accessories,"bandana, camo, elastic, green",Size Free,Size Free,,,,,DB318-GRN-0,0,shopify,100,deny,manual,3.00,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB318_Camo_Elastic-Bandana2.jpg?1257429506
camo-motif-zandana,Camo Motif Zandana,"As to why these fine products are called zandanas, I must admit that I don't know. Then again, since what I don't know could just about fill the Grand Canyon that is neither here nor there - But any excuse for a quick Kevin Smith reference.

Tying a bandana properly can be a nightmare (Ok, that might be a little extreme, it's more of a mild annoyance), but these handy zandana's are already made up for your wearing pleasure, shaving valuable seconds off one's getting ready time (A priceless commodity for the unorganised among us). Available in various patterns and colours, so go nuts!

NB: I've only just noticed, but how much does the pattern on the back look like a face?! I'm sure it's very deliberate and I'm only being slow, but still, cool.",Docblack,Accessories,"camo, green, zandana",Size Free,Size Free,,,,,DB330-GRN-0,0,shopify,100,deny,manual,4.00,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB330_Camo_Zandana4.jpg?1257429506
camo-motif-zandana,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB330_Camo_Zandana3.jpg?1257429506
captains-ghost-black-tshirt,Captains Ghost Skeleton Pirate Black T-shirt,"Not one to let a minor detail like being dead stop him from looting for pirate booty, this skeleton seems to having a whale of a time. Maybe he's a member of the crew of the legendary Flying Dutchman? (Google it) Or what Johnny Depp will look like by the time the 27th Pirates film comes out? Who knows. High quality, 100% cotton heavyweight t-shirt, with greyscale print on the back. A Doc Black original. Available in plus sizes.",Docblack,T-shirts,"black, docblack, pirate, plus size, shopify, t-shirt, tee",Title,Small,,,,,DB23-BLK-S,0,shopify,100,deny,manual,11.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB23_PirateGhost_frontfull.jpg?1257429506
captains-ghost-black-tshirt,,,,,,Title,Medium,,,,,DB23-BLK-M,0,shopify,100,deny,manual,11.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB23_PirateGhost_backfull.jpg?1257429506
captains-ghost-black-tshirt,,,,,,Title,Large,,,,,DB23-BLK-L,0,shopify,100,deny,manual,11.99,,
captains-ghost-black-tshirt,,,,,,Title,X Large,,,,,DB23-BLK-XL,0,shopify,100,deny,manual,11.99,,
captains-ghost-black-tshirt,,,,,,Title,XX Large,,,,,DB23-BLK-XXL,0,shopify,100,deny,manual,12.99,,
checked-bow-hair-clips-various-colours,Checked Bow Hair Clips (Various Colours),Very kawaii checked ribbon hair clips. Available in various colours.,Docblack,Accessories,"black, bow, checked, doc black, hair clip, purple, red, ribbon, white",Title,Red and Black,,,,,DB170-RED-0,0,shopify,100,deny,manual,3.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB170_B_R_Checked_Ribbon_ClipPS.jpg?1257429506
checked-bow-hair-clips-various-colours,,,,,,Title,Purple and Black,,,,,DB169-PRL-0,0,shopify,100,deny,manual,3.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB169_B_P_Checked_Ribbon_ClipPS.jpg?1257429506
checked-bow-hair-clips-various-colours,,,,,,Title,Black and White,,,,,DB168-BW-0,0,shopify,100,deny,manual,3.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB168_B_W_Checked_Ribbon_ClipPS.jpg?1257429506
checked-head-band-various-colours,Checked Hair Band (Various Colours),Cute hairbands with checked diamond pattern.,Docblack,Accessories,"black, checked, diamond, hair band, head band, red, white",Title,Red and Black,,,,,DB183-BLK-0,0,shopify,100,deny,manual,3.95,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB183_Hair_Band_Black_Red_ChecksPS.jpg?1257429506
checked-head-band-various-colours,,,,,,Title,Black and White,,,,,DB190-BW-0,0,shopify,100,deny,manual,3.95,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB190_Hair_Band_Black_White_DiamondPS.jpg?1257429506
childrens-black-death-and-friends-t-shirt,Children's Black Death and Friends T-Shirt,"Children's black t-shirt featuring Death and all of his buddies. Mr Reaper also seems to be wearing what looks like a cape made of screaming souls. I hear those are very 'in' right now. High quality 100% cotton t-shirt, with greyscale print on back. A Doc Black original.",Docblack,Children's T-Shirts,"black, children's, death, grim reaper, t-shirt",Size,Extra-Small (1-2Yrs),,,,,DB60-BLK-XS,1000,shopify,99,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB60_kids_reaper_front_full.jpg?1257429506
childrens-black-death-and-friends-t-shirt,,,,,,Size,Small (2-4Yrs),,,,,DB60-BLK-S,1000,shopify,100,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB60_kids_reaper_back_full.jpg?1257429506
childrens-black-death-and-friends-t-shirt,,,,,,Size,Medium (4-6Yrs),,,,,DB60-BLK-M,1000,shopify,100,deny,manual,7.99,,
childrens-black-death-and-friends-t-shirt,,,,,,Size,Large (6-8Yrs),,,,,DB60-BLK-L,1000,shopify,100,deny,manual,8.99,,
childrens-black-death-and-friends-t-shirt,,,,,,Size,Extra-Large (8-10Yrs),,,,,DB60-BLK-XL,1000,shopify,100,deny,manual,8.99,,
childrens-black-dragon-with-amulet,Children's Black Dragon with Amulet,"It can be hard to find alternative clothing for kids, but look no more! Black children's t-shirt, featuring a dragon and his prized trinket. Also available in adult sizes. Doc Black original product. XXL sizes available.",Docblack,Children's T-Shirts,"amulet, black, children's, dragon, fire, jewel, plus-size",Size,Extra-Small (1-2Yrs),,,,,DB79-BLK-XS,1000,shopify,100,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/k_jew1a.jpg?1257429506
childrens-black-dragon-with-amulet,,,,,,Size,Small (2-4Yrs),,,,,DB79-BLK-S,1000,shopify,100,deny,manual,7.99,,
childrens-black-dragon-with-amulet,,,,,,Size,Medium (4-6Yrs),,,,,DB79-BLK-M,1000,shopify,100,deny,manual,7.99,,
childrens-black-dragon-with-amulet,,,,,,Size,Large (6-8Yrs),,,,,DB79-BLK-L,1000,shopify,100,deny,manual,8.99,,
childrens-black-dragon-with-amulet,,,,,,Size,Extra-Large (8-10Yrs),,,,,DB79-BLK-XL,1000,shopify,100,deny,manual,8.99,,
childrens-black-dragon-with-amulet,,,,,,Size,XX Large (10-12Yrs),,,,,DB79-BLK-XXL,1000,shopify,100,deny,manual,9.99,,
childrens-black-flaming-dragon-t-shirt,Children's Black Flaming Dragon T Shirt,"Black children's t-shirt featuring a dragon in full flight, and he's all fired up about something (That was it. The nadir of bad website jokes, right there) Doc Black original product.",Docblack,Children's T-Shirts,"black, children's, dragon, fire, plus-size",Size,Extra-Small (1-2Yrs),,,,,DB78-BLK-XS,1000,shopify,100,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/k_drag1a.jpg?1257429506
childrens-black-flaming-dragon-t-shirt,,,,,,Size,Small (2-4Yrs),,,,,DB78-BLK-S,1000,shopify,100,deny,manual,7.99,,
childrens-black-flaming-dragon-t-shirt,,,,,,Size,Medium (4-6Yrs),,,,,DB78-BLK-M,1000,shopify,100,deny,manual,7.99,,
childrens-black-flaming-dragon-t-shirt,,,,,,Size,Large (6-8Yrs),,,,,DB78-BLK-L,1000,shopify,100,deny,manual,8.99,,
childrens-black-flaming-dragon-t-shirt,,,,,,Size,Extra-Large (8-10Yrs),,,,,DB78-BLK-XL,1000,shopify,100,deny,manual,8.99,,
childrens-black-flaming-dragon-t-shirt,,,,,,Size,XX Large (10-12Yrs),,,,,DB78-BLK-XXL,1000,shopify,100,deny,manual,9.99,,
childrens-black-grim-reaper-t-shirt,Children's Black Grim Reaper T-Shirt,"Children's black t-shirt featuring the Grim Reaper. Very Discworld, and very funky. Also his eye sockets are strangely hypnotic, which is an added bonus. Great alternative children's t shirt. Also available in adult sizes. High quality 100% cotton t-shirt, with greyscale print on back. A Doc Black original.",Docblack,Children's T-Shirts,"black, children's, death, grim reaper, t-shirt",Title,Extra-Small (1-2Yrs),,,,,DB59-BLK-XS,1000,shopify,100,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/db59_kids_death_front_full.jpg?1257429506
childrens-black-grim-reaper-t-shirt,,,,,,Title,Small (2-4Yrs),,,,,DB59-BLK-S,1000,shopify,100,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/db59_kids_death_back_full.jpg?1257429506
childrens-black-grim-reaper-t-shirt,,,,,,Title,Medium (4-6Yrs),,,,,DB59-BLK-M,1000,shopify,100,deny,manual,7.99,,
childrens-black-grim-reaper-t-shirt,,,,,,Title,Large (6-8Yrs),,,,,DB59-BLK-L,1000,shopify,100,deny,manual,8.99,,
childrens-black-grim-reaper-t-shirt,,,,,,Title,Extra-Large (8-10Yrs),,,,,DB59-BLK-XL,1000,shopify,100,deny,manual,8.99,,
children-black-pirate-skull-t-shir,Children's Black Pirate Skull T-Shirt,"Black children's t-shirt featuring a timber-shivering cool pirate skull with bandana, eye-patch and doubloons. All he needs is a parrot and he'd be in business. Doc Black original. Available in size XXL.",Docblack,Children's T-Shirts,"black, children's, pirate, plus-size, skull",Size,Extra-Small (1-2Yrs),,,,,DB80-BLK-XS,1000,shopify,100,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/k_pir1a.jpg?1257429506
children-black-pirate-skull-t-shir,,,,,,Size,Small (2-4Yrs),,,,,DB80-BLK-S,1000,shopify,100,deny,manual,7.99,,
children-black-pirate-skull-t-shir,,,,,,Size,Medium (4-6Yrs),,,,,DB80-BLK-M,1000,shopify,100,deny,manual,7.99,,
children-black-pirate-skull-t-shir,,,,,,Size,Large (6-8Yrs),,,,,DB80-BLK-L,1000,shopify,100,deny,manual,8.99,,
children-black-pirate-skull-t-shir,,,,,,Size,Extra-Large (8-10Yrs),,,,,DB80-BLK-XL,1000,shopify,100,deny,manual,8.99,,
children-black-pirate-skull-t-shir,,,,,,Size,XX Large (10-12Yrs),,,,,DB80-BLK-XXL,1000,shopify,100,deny,manual,9.99,,
childrens-black-skeleton-guitarist-t-shirt,Children's Black Skeleton Guitarist T-Shirt,"Children's black t-shirt featuring a hard rocking skeleton. Great gothic kid's t-shirt! High quality, with greyscale print on back. Also available in adult sizes. Doc Black original. Available in size XXL.",Docblack,Children's T-Shirts,"black, children's, guitar, plus size, skeleton",Size,Extra-Small (1-2Yrs),,,,,DB81-BLK-XS,1000,shopify,100,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/k_skelg1a.jpg?1257429506
childrens-black-skeleton-guitarist-t-shirt,,,,,,Size,Small (2-4Yrs),,,,,DB81-BLK-S,1000,shopify,100,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/k_skelg2a.jpg?1257429506
childrens-black-skeleton-guitarist-t-shirt,,,,,,Size,Medium (4-6Yrs),,,,,DB81-BLK-M,1000,shopify,100,deny,manual,7.99,,
childrens-black-skeleton-guitarist-t-shirt,,,,,,Size,Large (6-8Yrs),,,,,DB81-BLK-L,1000,shopify,100,deny,manual,8.99,,
childrens-black-skeleton-guitarist-t-shirt,,,,,,Size,Extra-Large (8-10Yrs),,,,,DB81-BLK-XL,1000,shopify,99,deny,manual,8.99,,
childrens-black-skeleton-guitarist-t-shirt,,,,,,Size,XX Large (10-12Yrs),,,,,DB81-BLK-XXL,1000,shopify,100,deny,manual,9.99,,
childrens-black-tribal-skull-t-shirt,Children's Black Tribal Skull T-Shirt,"Children's Black T-Shirt featuring a red tribal inked skull with a Grim Reaper tribal background. Alternative clothing for kids can be hard to find, so enjoy! Also available in adult sizes. Doc Black original. Available in size XXL.",Docblack,Children's T-Shirts,"black, children's, grim reaper, plus-size, red, skull, tribal",Size,Extra-Small (1-2Yrs),,,,,DB82-BLK-XS,1000,shopify,100,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/k_trib1a.jpg?1257429506
childrens-black-tribal-skull-t-shirt,,,,,,Size,Small (2-4Yrs),,,,,DB82-BLK-S,1000,shopify,100,deny,manual,7.99,,
childrens-black-tribal-skull-t-shirt,,,,,,Size,Medium (4-6Yrs),,,,,DB82-BLK-M,1000,shopify,100,deny,manual,7.99,,
childrens-black-tribal-skull-t-shirt,,,,,,Size,Large (6-8Yrs),,,,,DB82-BLK-L,1000,shopify,100,deny,manual,8.99,,
childrens-black-tribal-skull-t-shirt,,,,,,Size,Extra-Large (8-10Yrs),,,,,DB82-BLK-XL,1000,shopify,100,deny,manual,8.99,,
childrens-black-tribal-skull-t-shirt,,,,,,Size,XX Large (10-12Yrs),,,,,DB82-BLK-XXL,1000,shopify,100,deny,manual,9.99,,
childrens-black-two-skulls-t-shirt,Children's Black Two Skulls T-Shirt,"I get the feeling this will be a bit of a never-ending starring contest. My money's on the one on the right. Black goth kid's t-shirt featuring two tribal skulls. Also available in adult sizes. High quality 100% cotton t-shirt, with greyscale print on back. A Doc Black original.",Docblack,Children's T-Shirts,"black, children's, death, t-shirt, tribal",Size,Extra-Small (1-2Yrs),,,,,DB62-BLK-XS,1000,shopify,100,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB62_kids_twoskulls_front_full.jpg?1257429506
childrens-black-two-skulls-t-shirt,,,,,,Size,Small (2-4Yrs),,,,,DB62-BLK-S,1000,shopify,100,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB62_kids_twoskulls_back.jpg?1257429506
childrens-black-two-skulls-t-shirt,,,,,,Size,Medium (4-6Yrs),,,,,DB62-BLK-M,1000,shopify,100,deny,manual,7.99,,
childrens-black-two-skulls-t-shirt,,,,,,Size,Large (6-8Yrs),,,,,DB62-BLK-L,1000,shopify,100,deny,manual,8.99,,
childrens-black-two-skulls-t-shirt,,,,,,Size,Extra-Large (8-10Yrs),,,,,DB62-BLK-XL,1000,shopify,100,deny,manual,8.99,,
childrens-black-wolf-family-t-shirt,Children's Black Wolf Family T-Shirt,"Lovely children's t-shirt featuring a wolf family. This is all very Call of the Wild. Plus the wolf cub is oh so very cute! Also available in adult sizes. High quality 100% cotton t-shirt, with greyscale print on back. A Doc Black original.",Docblack,Children's T-Shirts,"black, children's, t-shirt, wolf",Size,Extra-Small (1-2Yrs),,,,,DB63-BLK-XS,1000,shopify,100,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB63_kids_wolf_front_full.jpg?1257429506
childrens-black-wolf-family-t-shirt,,,,,,Size,Small (2-4Yrs),,,,,DB63-BLK-S,1000,shopify,100,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB63_kids_wolf_back_full.jpg?1257429506
childrens-black-wolf-family-t-shirt,,,,,,Size,Medium (4-6Yrs),,,,,DB63-BLK-M,1000,shopify,100,deny,manual,7.99,,
childrens-black-wolf-family-t-shirt,,,,,,Size,Large (6-8Yrs),,,,,DB63-BLK-L,1000,shopify,99,deny,manual,8.99,,
childrens-black-wolf-family-t-shirt,,,,,,Size,Extra-Large (8-10Yrs),,,,,DB63-BLK-XL,1000,shopify,100,deny,manual,8.99,,
childrens-red-reaper-black-t-shirt,Children's Red Reaper Black T-Shirt,"Eschewing his usual gothic black attire, this time Death has decided to go for colourful red outfit, with stunning time-piece accessories. Not forgetting of course, the ever present shiny sycthe. High quality 100% cotton kid's alternative style t-shirt, with greyscale print on back. A Doc Black original.",Docblack,Children's T-Shirts,"black, children's, death, grim reaper, t-shirt",Size,Extra-Small (1-2Yrs),,,,,DB61-BLK-XS,1000,shopify,100,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB61_kids_redreaper_front_full.jpg?1257429506
childrens-red-reaper-black-t-shirt,,,,,,Size,Small (2-4Yrs),,,,,DB61-BLK-S,1000,shopify,100,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB61_kids_redreaper_back_full.jpg?1257429506
childrens-red-reaper-black-t-shirt,,,,,,Size,Medium (4-6Yrs),,,,,DB61-BLK-M,1000,shopify,100,deny,manual,7.99,,
childrens-red-reaper-black-t-shirt,,,,,,Size,Large (6-8Yrs),,,,,DB61-BLK-L,1000,shopify,100,deny,manual,8.99,,
childrens-red-reaper-black-t-shirt,,,,,,Size,Extra-Large (8-10Yrs),,,,,DB61-BLK-XL,1000,shopify,100,deny,manual,8.99,,
cloth-pirate-skull-and-crossbones-hair-band-various-colours,Cloth Pirate Skull and Crossbones Hair Band (Various Colours),"More pirate based goodness for all you swashbuckling lovers out there! (And really, who doesn't enjoy buckling swash every now and again?) Cloth skull and crossbones print over think plastic hair band. Available in various colours)",Docblack,Accessories,"black, blue, cloth, crossbones, emo, hair band, head band, pirate, red, skull",Title,Blue,,,,,DB206-BLU-0,0,shopify,100,deny,manual,3.95,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB206_Hair_Band_Blue_Pirate_ClothPS.jpg?1257429506
cloth-pirate-skull-and-crossbones-hair-band-various-colours,,,,,,Title,Black,,,,,DB185-BLK-0,0,shopify,100,deny,manual,3.95,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB185_Hair_Band_Black_Cloth_PiratePS.jpg?1257429506
